選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
99年苗栗縣後龍鎮鎮民代表,蔡文忠,19700,0,0,0,0,0,0,55192,15000,1700,450,2807,30559,0,0,0
99年苗栗縣後龍鎮鎮民代表,陳國忠,50000,80000,0,0,0,0,0,104770,22000,0,0,0,13950,0,0,0
99年苗栗縣獅潭鄉村長,涂泉明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年苗栗縣竹南鎮里長,林永春,78500,100000,0,0,0,0,27000,107350,20000,0,25875,0,42807,0,0,0
99年苗栗縣竹南鎮里長,葉光華,35500,0,0,0,0,0,20000,155792,6000,0,12000,0,12000,0,0,0
99年苗栗縣竹南鎮里長,謝美香,120300,22800,0,0,2000,3,0,93800,0,26700,0,0,62000,0,0,0
99年苗栗縣竹南鎮里長,陳忠雄,0,100000,0,0,0,0,0,28400,0,0,10000,0,76400,0,0,0
99年苗栗縣竹南鎮鎮民代表,洪水桔,100000,100000,0,0,0,0,1600,124060,20000,0,36259,4420,20493,0,0,0
99年苗栗縣竹南鎮鎮民代表,蔡津照,43600,200000,0,1500,0,0,75000,153000,0,0,57700,0,52350,0,0,0
99年苗栗縣竹南鎮鎮民代表,陳春桂,0,100000,0,0,0,6,0,104750,0,0,0,0,0,0,0,10500
99年苗栗縣苗栗市里長,劉智隆,0,0,0,0,0,0,0,81300,0,0,0,0,12010,0,0,0
99年苗栗縣通霄鎮鎮民代表,周玉滿,148200,0,0,0,0,0,0,185500,8000,0,35000,0,11063,0,0,0
99年苗栗縣通霄鎮鎮民代表,謝復德,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年苗栗縣造橋鄉鄉民代表,李錦旭,90300,0,0,0,1000,0,0,74850,0,12880,11800,0,17130,0,0,3000
99年苗栗縣頭份鎮里長,黃堯棟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年苗栗縣頭份鎮鎮民代表,温俊勇,90000,126000,0,0,0,0,0,169001,0,0,81070,7943,57080,0,0,0
99年苗栗縣頭份鎮鎮民代表,陳漢清,110000,0,0,0,0,0,32000,65558,0,0,0,0,15686,0,0,0
99年連江縣南竿鄉鄉民代表,楊水英,67480,0,0,0,0,0,0,9975,0,0,0,29487,329494,0,0,6191
99年金門縣烈嶼鄉鄉民代表,吳福全,200000,0,0,0,0,0,0,27105,0,0,0,13644,378989,0,0,0
99年金門縣金城鎮鎮民代表,倪于媃,29600,330000,0,0,0,0,33778,294213,8100,18200,41710,15321,76066,0,0,0
99年金門縣金城鎮鎮民代表,張含麗,0,0,0,0,0,0,0,93350,0,72500,0,3140,2430,0,0,0
99年金門縣金城鎮鎮民代表,李國泰,100000,0,0,0,0,0,24000,65800,36000,21000,0,0,116515,0,0,0
99年金門縣金城鎮鎮民代表,許建全,0,100000,0,0,0,0,0,24150,0,0,0,0,79540,0,0,0
99年金門縣金城鎮鎮民代表,陳天成,206000,0,0,0,0,0,60000,284000,35000,75000,52000,0,107240,0,0,0
99年金門縣金寧鄉村長,翁明振,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年金門縣金沙鎮鎮民代表,王秀玉,200000,0,0,0,0,0,54000,237759,70880,0,0,11745,250609,0,0,0
99年金門縣金湖鎮里長,李志鴻,100000,0,0,0,0,0,0,112000,0,20000,30000,0,77700,0,0,0
99年雲林縣二崙鄉村長,李木魁,100000,0,0,0,0,0,0,14100,0,0,106900,0,13000,0,0,0
99年雲林縣口湖鄉鄉民代表,李宗霖,450000,0,0,0,0,0,28000,114900,172800,25000,0,29385,136070,0,0,25540
99年雲林縣四湖鄉村長,林建益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年雲林縣四湖鄉鄉民代表,吳朝山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年雲林縣斗六市市民代表,張連亨,21000,500,0,0,0,0,342900,621589,0,0,0,122080,130202,0,0,0
99年雲林縣斗六市市民代表,李政達,0,0,0,0,0,0,0,159150,0,0,7500,0,5320,0,0,0
99年雲林縣斗六市市民代表,楊鎮安,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年雲林縣斗六市市民代表,江宗保,26000,80000,0,0,0,0,0,191692,0,40000,1000,0,48557,0,0,0
99年雲林縣斗六市市民代表,沈景勝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年雲林縣斗六市市民代表,蔡明璋,0,0,0,0,0,0,0,59000,0,0,0,0,10500,0,0,0
99年雲林縣斗六市里長,黃玉昭,0,0,0,0,0,0,0,19700,0,0,0,0,14045,0,0,0
99年雲林縣虎尾鎮鎮民代表,林武正,118000,0,0,0,0,8,0,144000,0,0,0,20125,0,0,0,0
99年雲林縣虎尾鎮鎮民代表,王彥量,30000,0,0,0,0,0,0,69000,0,0,0,0,0,0,0,0
99年雲林縣西螺鎮鎮民代表,程進森,0,0,0,0,0,0,0,83000,0,0,32003,15445,20542,0,0,12600
99年高雄市里長,余瑞民,6000,0,0,0,0,0,0,8500,0,0,0,0,0,0,0,0
99年高雄市里長,劉德權,20000,0,0,0,0,0,15000,15180,0,0,0,0,0,0,0,0
99年高雄市里長,劉高鈿,71000,34000,0,0,0,0,11200,41200,6922,51600,0,0,7031,0,0,0
99年高雄市里長,吳住元,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,孫淑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,張明達,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,張昭為,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,李又玲,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,杜忠山,50000,0,0,0,0,0,0,58880,0,0,0,0,0,0,0,0
99年高雄市里長,林國泰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,林振亮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,洪仲禎,100000,100000,0,0,0,0,52000,109600,0,0,0,0,1850,0,0,42600
99年高雄市里長,王復興,0,1900,0,0,0,0,0,11820,0,0,0,0,5120,0,0,0
99年高雄市里長,蔡和山,200000,0,0,0,0,0,2500,4400,0,0,0,10063,187217,0,0,26500
99年高雄市里長,薛亜媚,8300,0,0,0,0,0,4800,11850,0,0,7560,0,2750,0,0,0
99年高雄市里長,邱丁枝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,邱清水,23200,0,0,0,0,0,0,27942,0,0,0,0,0,0,0,0
99年高雄市里長,陳建銘,163000,96000,0,0,0,0,0,42800,17500,0,0,0,247854,0,0,0
99年高雄市里長,陳德欽,115000,35000,0,0,0,19,0,171000,0,0,0,0,0,0,0,0
99年高雄市里長,黃世堯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,黃國龍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年高雄市里長,黃永富,95112,69890,0,10000,0,0,0,195056,0,0,40002,0,2975,0,0,0
99年高雄市里長,黃龍,181900,0,0,0,0,0,0,100280,0,0,0,0,136840,0,0,0
南投縣仁愛鄉長第15屆鄉長補選,張子孝,95000,51000,0,0,0,0,0,174000,60000,70840,37920,20030,1890,0,0,0
嘉義市第6屆立法委員,陳麗貞,217000,306000,0,360000,0,0,0,454886,489456,2430,35000,0,122537,0,0,0
第10屆台北市里長,尤盛田,110000,0,0,0,0,0,0,30971,0,0,25615,1470,62128,0,0,0
第10屆台北市里長,林洳萱,60100,0,0,0,0,0,0,90230,0,20900,14657,0,343,0,0,0
第10屆台北市里長,陳泰雄,0,0,15000,0,0,0,0,10000,0,0,0,0,50000,0,0,0
第10屆桃園縣桃園市長,蘇家明,1425600,2615000,0,0,36450,25,0,3341512,576000,0,81200,9771,283636,0,0,0
第10屆桃園縣桃園市長,陳美惠,1930000,377200,0,0,0,0,0,2066506,749000,36240,454839,19085,762290,0,0,0
第10屆桃園縣桃園市長,黃哲鍾,939000,561000,0,0,0,54,0,2852158,90000,13083,80600,21270,1015762,0,0,0
第10屆臺北市台北市里長,夏萬浪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市台北市里長,江輝吉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市市議員,余光妹,23300,0,0,0,0,0,0,21118,49500,93000,4500,14735,53728,0,0,0
第10屆臺北市市議員,侯冠群,954240,886000,0,430000,2400,51,0,3775185,172000,52753,95840,42325,13814,0,0,0
第10屆臺北市市議員,劉耀仁,3249000,3088800,0,160000,2000,808,0,6717810,296600,442000,578749,84626,1676651,0,200000,0
第10屆臺北市市議員,厲耿桂芳,4427620,5861000,1000000,586000,0,36061,0,6868684,215785,363911,675415,169857,4079303,0,0,0
第10屆臺北市市議員,吳世正,1966700,1840000,1600000,385000,48000,1342,0,1117598,0,260000,324001,35478,1046831,0,0,0
第10屆臺北市市議員,吳志剛,3275490,14651795,2000000,225000,211500,2927,0,6593186,1037493,432900,221022,82117,1851898,0,0,0
第10屆臺北市市議員,吳思瑤,3606000,7062000,313500,510000,13500,2580,0,3670398,177136,708314,699609,183589,4593850,0,0,0
第10屆臺北市市議員,吳碧珠,1440000,5319719,1000000,33000,0,908,0,4581165,415125,860500,886700,107014,2625793,0,0,0
第10屆臺北市市議員,呂瀅瀅,1712600,9491840,0,30000,17500,175,0,6754167,320657,561400,248625,109429,3293318,0,0,0
第10屆臺北市市議員,周威佑,3066200,2502000,1425000,451000,54330,1146,0,4046369,372100,224400,247033,40799,2420603,0,0,0
第10屆臺北市市議員,周柏雅,6037806,2990020,0,0,151200,61503,0,3515503,0,252401,0,54007,1922123,0,0,0
第10屆臺北市市議員,常中天,402000,3000,0,30000,2000,1,0,30000,0,140000,42442,17094,208016,0,0,0
第10屆臺北市市議員,廖林麗玲,717000,676000,751016,391000,0,0,0,1780202,40800,130100,12650,20145,577749,0,0,0
第10屆臺北市市議員,張宏林,701180,40000,0,3000,0,0,0,180215,0,168047,0,14971,454220,0,0,0
第10屆臺北市市議員,張幸松,309000,47590,0,0,0,0,0,1520739,40,0,0,510,308159,0,0,0
第10屆臺北市市議員,張聿文,189300,36000,0,0,0,0,0,22824,2750,84575,14322,39027,261154,0,0,0
第10屆臺北市市議員,張茂楠,895200,301000,237500,0,30356,215,0,1261409,20084,0,34500,2370,822284,0,0,0
第10屆臺北市市議員,徐佳青,3274000,905000,0,343000,37000,623,0,1808578,37000,117080,419320,168847,1213438,0,0,0
第10屆臺北市市議員,戴錫欽,2614600,2058000,1000000,35000,0,239,0,3327790,478828,89916,629936,118621,1215404,0,0,0
第10屆臺北市市議員,方景鈞,0,0,0,0,0,0,0,14823,12947,681,0,8649,228543,0,0,0
第10屆臺北市市議員,曹鵬山,1997900,474800,0,0,23000,68,0,1064772,0,4350,2700,54989,1628087,0,0,0
第10屆臺北市市議員,李仁人,1529700,4137000,1000000,260000,137000,1226,0,6314195,281000,286016,67700,97963,670312,0,0,0
第10屆臺北市市議員,李偉民,3586600,6405000,0,400000,0,459,0,6435570,827310,44913,422794,17639,2677036,0,0,0
第10屆臺北市市議員,李建昌,4499160,3242500,0,30000,110700,944,0,4655335,338088,313570,107000,61105,1065576,0,0,0
第10屆臺北市市議員,李彥秀,5172000,9610000,1000000,0,31000,4548,0,7178497,378080,247476,432191,275162,6424798,0,960000,0
第10屆臺北市市議員,李慶元,4310536,3209000,0,0,2000,34,0,4577384,39400,180000,196630,194468,2564882,0,0,0
第10屆臺北市市議員,李慶鋒,3976000,2345000,0,0,10100,398,0,4845887,22474,317475,105719,24528,1105099,0,0,0
第10屆臺北市市議員,李文英,4308800,1615000,0,76000,104000,3595,0,2617964,487214,205000,98100,39565,2237707,0,0,0
第10屆臺北市市議員,李新,3291799,11511800,0,191500,3200,14,0,10508784,243012,470300,385603,69967,3369594,0,0,0
第10屆臺北市市議員,李銀來,681700,3000,1000000,0,3000,144,0,514483,315119,313899,36500,0,539213,0,0,0
第10屆臺北市市議員,林國成,1202200,1698000,0,138000,10000,0,0,1274581,424683,420439,111689,11775,1061978,0,0,0
第10屆臺北市市議員,林奕華,8062405,3603800,1000000,407500,500,847,0,5340335,283920,1190859,118685,248336,2327540,0,0,0
第10屆臺北市市議員,林定勇,1365400,1166000,0,81000,5000,0,0,1962473,0,0,267000,53700,508868,0,0,0
第10屆臺北市市議員,林御紹,491193,0,0,0,0,0,0,24391,2000,0,0,5721,508782,0,0,0
第10屆臺北市市議員,林新建,3895700,1756776,0,463200,0,886,0,7055941,600,165855,40500,214098,2319377,0,0,0
第10屆臺北市市議員,林晉章,5844199,4931000,1200000,500500,6200,0,0,5299275,270084,180349,94523,85813,1611954,0,0,0
第10屆臺北市市議員,林瑞圖,2015188,2754000,0,0,7000,49,0,881112,0,25660,23000,145814,3865810,0,0,0
第10屆臺北市市議員,梁熾誠,289156,0,0,0,2110,2,0,39720,0,0,33996,5080,225168,0,0,0
第10屆臺北市市議員,楊實秋,1125000,3050000,1000000,0,0,370,0,461702,14030,262500,2000,147491,1846243,0,0,0
第10屆臺北市市議員,歐陽龍,5351116,5187500,1000000,30000,4499,832,0,3165665,167115,383324,1640182,67605,3402100,0,0,0
第10屆臺北市市議員,江志銘,3624000,2940000,0,320000,76600,979,0,2389015,0,200000,279889,154825,3941194,0,0,0
第10屆臺北市市議員,汪用中,116500,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0
第10屆臺北市市議員,洪健益,1802620,819900,0,0,7800,285,0,1173285,23410,133850,18850,56347,1767113,0,0,0
第10屆臺北市市議員,洪士奇,2687000,2304400,100000,200000,0,83,0,3712553,132515,376221,167923,37952,2622128,0,0,0
第10屆臺北市市議員,洪正雄,400000,1280000,0,0,0,131,0,1710943,7000,263454,4200,1603,423050,0,0,0
第10屆臺北市市議員,潘懷宗,2573300,1672600,0,115000,162900,1249,0,2110401,121430,172811,387600,133347,1885736,0,0,0
第10屆臺北市市議員,潘翰聲,430000,20000,0,0,2000,22,0,231599,25600,116000,0,2095,234287,0,0,0
第10屆臺北市市議員,王孝維,1042100,823000,0,0,10000,364,0,2683155,56231,492178,165000,45365,515521,0,0,0
第10屆臺北市市議員,王欣儀,969000,1696000,1050000,181000,0,140,0,2556543,267125,92899,38266,0,956180,0,0,0
第10屆臺北市市議員,王正德,4091700,5149000,1000000,441000,19000,3228,0,7333978,50550,102022,1002964,4614,2252957,0,0,0
第10屆臺北市市議員,王浩,4431888,8548000,1200000,190000,1200,7659,0,908894,0,9000,0,187484,1588009,0,0,0
第10屆臺北市市議員,王育誠,3901000,10103000,0,30000,1000,201351,0,3695299,94000,3167893,235340,548143,6658977,0,10000,0
第10屆臺北市市議員,王鴻薇,3380432,2800000,0,0,6000,542,0,2854586,204300,749985,155690,81625,1630813,0,0,0
第10屆臺北市市議員,田欣,2808000,2000000,0,0,0,110,0,5327641,148050,0,5000,6335,65499,0,0,0
第10屆臺北市市議員,盧靜儀,125000,150000,1586720,0,1000,94,0,972887,15659,143079,31746,106408,774527,0,0,0
第10屆臺北市市議員,秦儷舫,1033139,2601000,1000000,0,0,402,0,2444200,151480,429215,305,4650,3587033,0,0,0
第10屆臺北市市議員,簡余晏,3497158,1076601,1252927,7000,168159,2949,0,2183460,19350,209100,564628,132121,3008441,0,0,0
第10屆臺北市市議員,羅宗勝,340000,740000,0,0,56700,11,0,1000318,319300,0,135060,0,165602,0,0,0
第10屆臺北市市議員,莊瑞雄,2662000,3305000,0,0,0,691,0,4229322,72000,356432,76949,221321,1917265,0,0,0
第10屆臺北市市議員,蔡坤龍,333000,560000,0,0,77000,10,0,2765618,182600,340000,0,16000,149438,0,0,0
第10屆臺北市市議員,蔡鴻鵬,641540,10000,0,0,0,0,0,670160,0,0,0,0,0,0,0,0
第10屆臺北市市議員,蔣乃辛,4373140,2642800,1000000,222000,79750,362,0,3233439,166885,316995,142926,115103,3088661,0,9000,0
第10屆臺北市市議員,蕭亞譚,1591000,222000,0,0,0,39,0,1176655,0,3750,0,8813,624520,0,0,0
第10屆臺北市市議員,蕭炳賢,120000,97125,0,0,0,0,0,145754,34138,50000,0,28085,696624,0,0,0
第10屆臺北市市議員,許博喬,5200,40000,0,0,0,12,0,20080,0,0,0,30245,9760,0,0,0
第10屆臺北市市議員,許懷台,192000,0,0,0,0,7,0,190376,0,0,0,0,3000,0,0,0
第10屆臺北市市議員,許淑華,3268000,4306970,0,0,18000,910,0,4010692,0,224373,62900,123505,2983222,0,0,0
第10屆臺北市市議員,詹銘洲,421100,9000,0,3000,4500,15,0,92203,0,0,0,14772,340934,0,0,0
第10屆臺北市市議員,謝公秉,1769888,3380000,100000,30000,0,242,0,3074882,152450,172500,256963,79471,1900562,0,0,0
第10屆臺北市市議員,賴素如,2686460,2024000,1200000,80000,9000,286,0,3569674,499990,32879,20650,45562,373820,0,0,0
第10屆臺北市市議員,邱志山,173800,5200,0,0,0,0,0,177986,0,0,134327,2890,314051,0,0,0
第10屆臺北市市議員,闕枚莎,2048900,2102000,1000000,50000,6000,399,0,6726423,26000,128000,32000,67366,1133651,0,30000,0
第10屆臺北市市議員,陳光,120000,220000,0,0,16493,1,0,370149,8557,1785,5700,7030,282463,0,0,0
第10屆臺北市市議員,陳勇志,2162000,1239562,0,0,0,752,0,1608431,227541,341438,65110,85126,1715439,0,20000,0
第10屆臺北市市議員,陳嘉銘,1402000,722000,0,180000,216600,45,0,2100639,171000,0,79000,860,190045,0,0,0
第10屆臺北市市議員,陳國棟,581200,12000,0,0,0,0,0,722526,133243,109000,0,62559,676655,0,0,0
第10屆臺北市市議員,陳壽彭,2197000,165000,1000000,0,324900,0,0,2952647,0,0,251000,32311,1509148,0,0,0
第10屆臺北市市議員,陳孋輝,3079769,2620000,1000000,0,0,448,0,3864587,82325,150950,3000,129969,2509289,0,0,0
第10屆臺北市市議員,陳宣靜,0,10000,0,0,0,0,0,12000,0,0,0,0,200000,0,0,0
第10屆臺北市市議員,陳建銘,2280099,2062000,500000,200000,12000,501,0,2216942,209807,671825,984839,478409,4428673,0,0,0
第10屆臺北市市議員,陳彥勳,480000,680000,0,0,4000,25,0,974100,0,0,36000,0,162775,0,0,0
第10屆臺北市市議員,陳惠敏,1399000,1029000,1300000,10000,230310,220,0,2408238,199300,46979,119981,27248,1212477,0,0,0
第10屆臺北市市議員,陳政忠,1617489,3628000,1000000,0,0,30131,0,4420111,861761,0,369765,44935,912048,0,0,0
第10屆臺北市市議員,陳正德,1068000,2489000,0,0,0,138,0,3967145,696067,1022062,308917,0,496392,0,0,0
第10屆臺北市市議員,陳永德,2066635,4066000,1000000,30000,297257,0,0,2116719,466740,3570,66007,54802,1835244,0,230000,0
第10屆臺北市市議員,陳淑華,589000,139000,0,0,19200,26,0,435425,558500,70000,112284,10874,619923,0,0,0
第10屆臺北市市議員,陳燦鴻,735000,200000,1000000,0,148688,54,0,1189330,11500,214934,7500,105,604501,0,0,0
第10屆臺北市市議員,陳玉梅,9231090,14231550,1200000,472800,104560,1789,0,1850729,452300,548169,446517,95439,3333311,0,500000,0
第10屆臺北市市議員,陳碧峰,3504800,4822000,0,30000,39000,212055,0,4119947,1551542,574545,781350,109943,1889457,0,0,0
第10屆臺北市市議員,陳維祥,300000,0,0,0,0,0,0,275437,0,0,0,0,200000,0,0,0
第10屆臺北市市議員,陳義洲,2050460,3874000,1000000,60000,18000,961,0,3051332,649054,579247,0,105050,2129277,0,0,0
第10屆臺北市市議員,陳錦祥,1642100,4357000,1000000,0,0,684,0,1623260,54160,0,2146243,0,609554,0,0,0
第10屆臺北市市議員,顏聖冠,1035880,715260,0,47000,70000,573,0,1422012,4300,0,37000,49773,468646,0,0,0
第10屆臺北市市議員,黃世杰,110000,110000,0,0,3000,0,0,0,0,0,0,0,560000,0,0,0
第10屆臺北市市議員,黃向羣,4418580,3572920,0,0,10000,754,0,3279604,2460208,300500,28841,47909,1922451,0,0,0
第10屆臺北市市議員,黃幼中,1115200,3383800,0,0,0,200000,0,3342827,345000,372840,1028,18680,705273,0,0,0
第10屆臺北市市議員,黃珊珊,4283731,4825020,0,87000,116100,0,0,2718793,76278,687289,1492872,247602,1964974,0,200000,0
第10屆臺北市議員,汪志冰,1465558,1611000,1000000,12000,1000,409,0,888712,219903,150000,141500,154987,2877508,0,0,0
第10屆臺北市里長,余少鈞,35500,0,0,0,0,0,0,46871,0,30000,0,0,6000,0,0,0
第10屆臺北市里長,劉宗勳,91088,5000,0,0,0,0,0,89000,0,0,14000,0,4048,0,0,0
第10屆臺北市里長,劉明康,0,14000,0,0,0,0,0,34000,0,0,0,0,50000,0,0,0
第10屆臺北市里長,卓泰山,0,0,0,0,0,0,0,6300,0,0,0,0,66400,0,0,0
第10屆臺北市里長,吳東明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,張權民,10000,0,0,0,0,0,0,6300,0,0,0,0,3700,0,0,0
第10屆臺北市里長,張聰義,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,施福慶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,曾國益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,李玉枝,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0
第10屆臺北市里長,林偉斌,0,0,0,0,0,0,0,29555,0,0,0,0,44816,0,0,0
第10屆臺北市里長,林德勝,59400,0,15000,0,0,0,0,40000,0,40000,0,0,0,0,0,0
第10屆臺北市里長,林錫祺,12320,0,0,0,0,0,0,10650,0,0,720,0,25100,0,0,0
第10屆臺北市里長,楊國明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,楊素貞,0,0,0,0,0,0,0,35275,0,0,17750,0,50000,0,0,0
第10屆臺北市里長,歐陽瑤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,沈瑞騰,3000,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,0
第10屆臺北市里長,王一力,1400,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0
第10屆臺北市里長,王炎生,0,0,0,0,0,0,0,32000,0,0,0,0,26500,0,0,0
第10屆臺北市里長,蔡桂清,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,許子良,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,許文福,60000,0,0,0,0,0,0,32250,0,9000,0,0,23100,0,0,0
第10屆臺北市里長,謝錦淵,145000,0,0,0,0,0,0,95477,0,0,0,14887,63817,0,0,0
第10屆臺北市里長,邱文龍,76750,0,0,0,0,0,0,48334,0,0,10140,0,43341,0,0,0
第10屆臺北市里長,邱碧珠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,郭宗益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,郭文雄,0,0,15000,0,0,0,0,16000,0,0,0,0,0,0,0,0
第10屆臺北市里長,郭正中,61184,0,0,0,1000,0,0,48619,0,0,44819,170,18365,0,0,0
第10屆臺北市里長,郭輝宏,150700,15000,0,0,14600,0,0,91780,0,0,0,0,99000,0,0,0
第10屆臺北市里長,鍾駿,179700,2000,0,0,0,0,0,78914,0,0,31100,280,101050,0,0,0
第10屆臺北市里長,闕山柳,0,10000,0,0,0,0,0,54600,0,0,0,0,1708,0,0,0
第10屆臺北市里長,闕陳月英,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,陳志明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,陳碧蓮,0,0,0,0,0,0,0,20000,0,6800,10000,0,120585,0,0,0
第10屆臺北市里長,陳美嬌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,陳開興,0,0,15000,0,0,0,0,4620,0,0,0,0,50000,0,0,0
第10屆臺北市里長,陳高美美,25000,0,0,0,0,0,0,32270,0,0,0,0,4170,0,0,0
第10屆臺北市里長,高白川,100000,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0
第10屆臺北市里長,鮑黎登,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北市里長,黃坤哲,2000,6000,0,0,0,0,0,15000,0,0,0,0,50000,0,0,0
第10屆臺北市里長,黃關山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺北縣板橋市長,張宏陸,5469600,14732000,1900000,2000,15000,9527,0,15958444,202440,221000,3950755,162019,2811630,0,15000,0
第10屆臺北縣板橋市長,江惠貞,3622800,2400000,0,20000,17000,615,0,4682568,26400,0,1309300,0,406359,0,0,0
第10屆臺東縣臺東市市長,邱英山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆臺東縣臺東市市長,陳建閣,730000,360000,300000,25600,0,0,183000,329764,102825,84000,424925,0,367805,0,0,25900
第10屆金門縣烈嶼鄉鄉長,林長耕,196000,120000,30000,0,0,0,0,55860,45000,46000,0,0,261940,0,0,0
第10屆金門縣金城鎮鎮長,石兆瑉,170000,400000,50000,0,10000,0,664800,1020788,17555,0,23677,0,18538,0,0,0
第10屆金門縣金城鎮鎮長,許金象,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第10屆金門縣金城鎮鎮長,陳天成,491500,0,0,0,0,0,170000,361668,35000,18000,341700,0,26840,0,0,0
第10屆金門縣金寧鄉鄉長,李正騰,70000,200000,30000,0,0,0,28000,96880,45000,40000,45500,25000,42660,0,0,0
第10屆金門縣金寧鄉鄉長,陳成勇,77000,0,30000,0,0,0,50000,415300,0,0,39000,0,91691,0,0,44500
第10屆金門縣金沙鎮鎮長,陳昆第,0,40000,30000,0,0,0,120000,460810,22880,110700,34760,0,102144,0,0,0
第10屆金門縣金沙鎮鎮長,黃克標,95000,0,0,0,0,0,16300,500500,0,76200,58810,14070,194329,0,0,29900
第10屆金門縣金湖鎮鎮長,蔡西湖,0,0,30000,0,0,0,244400,431550,0,0,0,2230,538458,0,0,0
第10屆高雄縣鳳山市長,許智傑,1890200,3083000,0,20000,0,0,0,3829633,0,30469,406350,136508,2135119,0,0,0
第11屆桃園縣中壢市長,葉步樑,3049800,2987254,0,3000,75600,27750,0,2840968,186000,1371025,1593345,42200,1530798,0,0,0
第11屆桃園縣中壢市長,袁明星,60000,20000,0,0,0,0,0,80000,0,0,0,0,0,0,0,0
第11屆桃園縣桃園市市長,范綱祥,2337154,194000,0,0,3000,0,811964,3258991,162000,81850,64365,32042,124673,0,0,0
第11屆桃園縣桃園市市長,蘇家明,2847000,2869000,600000,0,0,85,520130,4513896,551000,84100,211075,292627,401840,218000,0,0
第11屆臺北市議員,何志偉,546500,560000,0,0,10000,7,0,1097460,0,0,42000,0,37054,0,0,0
第11屆臺北市議員,侯冠群,1442000,1840000,200000,0,0,0,0,4004519,0,0,142200,0,20325,210000,0,0
第11屆臺北市議員,侯衍泰,1157100,451000,0,0,126000,22,441864,1171001,0,138000,65732,40329,241584,0,0,0
第11屆臺北市議員,劉耀仁,4147000,3886000,30000,0,14500,900,1892600,3921403,126288,287500,455750,74116,894262,1230000,0,83997
第11屆臺北市議員,厲耿桂芳,6400265,5478000,200000,345020,0,557,4742170,5148132,398985,224215,132080,106959,1421193,270000,0,0
第11屆臺北市議員,吳世正,3327700,1175200,0,505600,60166,1078,122170,2287754,76000,285000,255721,125259,352334,505600,12000,320607
